year,Month,fullMonth,StartDate,EndDate,dist,Outfit,Civlian,Security Forces,Militants,Total,Injured
2016,9,September,9/18/16,9/18/16,Baramulla,,0,17,4,21,19
2016,9,September,9/11/16,9/11/16,Kupwara,NS,0,0,4,4,0
2016,9,September,9/11/16,9/11/16,Poonch,NS,0,1,3,4,5
2016,8,August,8/21/16,8/21/16,Kupwara,NS,0,0,3,3,0
2016,8,August,8/17/16,8/17/16,Baramulla,JeM,0,3,0,3,3
2016,8,August,8/15/16,8/15/16,Baramulla,NS,0,0,5,5,0
2016,8,August,8/15/16,8/15/16,Srinagar,NS,0,1,2,3,11
2016,8,August,8/8/16,8/8/16,Kupwara,NS,0,3,1,4,2
2016,7,July,7/30/16,7/30/16,Kupwara,NS,0,2,2,4,1
2016,7,July,7/26/16,7/26/16,Kupwara,NS,0,0,4,4,0
2016,7,July,7/16/16,7/16/16,Poonch,LeT,0,0,3,3,0
2016,7,July,7/8/16,7/8/16,Anantnag,HM,0,0,3,3,0
2016,6,June,6/25/16,6/25/16,Srinagar,LeT,0,8,2,10,20
2016,6,June,6/23/16,6/23/16,Kupwara,NS,0,0,3,3,0
2016,6,June,6/23/16,6/23/16,Kupwara,NS,0,0,3,3,0
2016,6,June,6/16/16,6/16/16,Kupwara,NS,0,1,4,5,0
2016,6,June,6/3/16,6/3/16,Anantnag,HM,0,3,0,3,7
2016,5,May,5/26/16,5/27/16,Kupwara,NS,0,1,4,5,0
2016,5,May,5/21/16,5/21/16,Kupwara,JeM,0,0,5,5,2
2016,5,May,5/7/16,5/7/16,Pulwama,HM,0,0,3,3,0
2016,4,April,4/21/16,4/21/16,Kupwara,LeT,0,0,3,3,0
2016,3,March,3/2/16,3/2/16,Pulwama,HM,0,0,3,3,0
2016,2,February,2/21/16,2/22/16,Pulwama,LeT,1,5,3,9,13
2016,2,February,2/13/16,2/13/16,Kupwara,LeT,0,2,5,7,2
2016,2,February,2/4/16,2/4/16,Bandipora,LeT,0,0,3,3,0
2015,12,December,12/4/15,12/4/15,Kupwara,LeT,0,1,2,3,1
2015,12,December,12/3/15,12/3/15,Poonch,LeT,0,0,3,3,0
2015,11,November,11/25/15,11/25/15,Kupwara,JeM,1,0,3,4,2
2015,11,November,11/23/15,11/23/15,Anantnag,HM,0,0,3,3,0
2015,10,October,10/26/15,10/26/15,Pulwama,HM,0,1,2,3,0
2015,10,October,10/5/15,10/5/15,Kupwara,NS,0,4,0,4,0
