district,censuscode,attacks,civilian,secforce,militant,total
Anantnag,14,3,0,3,6,9
Badgam,2,0,0,0,0,0
Bandipora,9,9,0,8,38,46
Baramulla,8,20,3,48,70,117
Doda,16,0,0,0,0,0
Ganderbal,11,3,0,1,13,14
Jammu,21,1,5,3,4,12
Kargil,4,0,0,0,0,0
Kathua,7,3,6,8,5,19
Kishtwar,18,1,0,12,3,15
Kulgam,15,3,1,2,6,9
Kupwara,1,56,2,42,203,247
Leh,3,0,0,0,0,0
Poonch,5,6,0,6,15,21
Pulwama,12,16,5,18,40,63
Rajouri,6,5,0,6,20,26
Ramban,17,2,4,0,3,7
Reasi,20,0,0,0,0,0
Samba,22,1,0,4,3,7
Shopian,13,5,2,4,12,18
Srinagar,10,7,1,23,15,39
Udhampur,19,1,0,2,1,3
Pakistan Occupied Kashmir,0,0,0,0,0,0
